SerialNumber,DeviceUUID,OperatingSystem,OSVersion,KernelVersion,MacId,IMEI,ShippingDate,MicroControllerChipNumber,NetworkType,CommunicationProtocol,DataProtocol,IsWifiSupportAvailable,isStreamingMediaSupportAvailable,sensorType,FirmwareVersion,IsCertificateAdded,CertificatePath,IsL3,IsCapableOfPatching
SN23010000450,53df2eeb-c4c2-4a0e-b767-20b68a89abe1,TINYOS,1.6.0.0,1.6.0.0,53df2eeb-c4c2-4a0e-b767-20b68a89abe1,53df2eeb-c4c2-4a0e-b767-20b68a89abe1,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000451,a89caa0e-61ce-46a1-9687-2af2a95cd9fc,TINYOS,1.6.0.0,1.6.0.0,a89caa0e-61ce-46a1-9687-2af2a95cd9fc,a89caa0e-61ce-46a1-9687-2af2a95cd9fc,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000452,0648e19c-7675-4303-86b4-0258fd82b73a,TINYOS,1.6.0.0,1.6.0.0,0648e19c-7675-4303-86b4-0258fd82b73a,0648e19c-7675-4303-86b4-0258fd82b73a,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000453,eeea1a5c-06ea-4d0e-90ef-aadd335ea5ce,TINYOS,1.4.0.3,1.4.0.3,eeea1a5c-06ea-4d0e-90ef-aadd335ea5ce,eeea1a5c-06ea-4d0e-90ef-aadd335ea5ce,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.4.0.3,NO,,NO,YES
SN23010000454,5346e472-2d9b-4e85-9369-3f4293ac14b8,TINYOS,1.6.0.0,1.6.0.0,5346e472-2d9b-4e85-9369-3f4293ac14b8,5346e472-2d9b-4e85-9369-3f4293ac14b8,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000455,75e32d68-892a-49da-9878-5426f78abfc5,TINYOS,1.6.0.0,1.6.0.0,75e32d68-892a-49da-9878-5426f78abfc5,75e32d68-892a-49da-9878-5426f78abfc5,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000456,52190b1e-52f5-45df-a73e-3b7df31a177f,TINYOS,1.6.0.0,1.6.0.0,52190b1e-52f5-45df-a73e-3b7df31a177f,52190b1e-52f5-45df-a73e-3b7df31a177f,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000457,90b5af6b-0b09-4b31-a0df-ab863036440c,TINYOS,1.4.0.3,1.4.0.3,90b5af6b-0b09-4b31-a0df-ab863036440c,90b5af6b-0b09-4b31-a0df-ab863036440c,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.4.0.3,NO,,NO,YES
SN23010000458,975a5524-45e7-4c82-a9c0-ed14b2cf9852,TINYOS,1.4.0.3,1.4.0.3,975a5524-45e7-4c82-a9c0-ed14b2cf9852,975a5524-45e7-4c82-a9c0-ed14b2cf9852,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.4.0.3,NO,,NO,YES
SN23010000459,2c262e17-f17f-4435-bce9-6a1688960ae2,TINYOS,1.6.0.0,1.6.0.0,2c262e17-f17f-4435-bce9-6a1688960ae2,2c262e17-f17f-4435-bce9-6a1688960ae2,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000460,45ecba7b-0f26-4146-9393-dabf4c9acc11,TINYOS,1.6.0.0,1.6.0.0,45ecba7b-0f26-4146-9393-dabf4c9acc11,45ecba7b-0f26-4146-9393-dabf4c9acc11,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000461,dd5807b9-32b9-41bd-af38-ad5de36c8b51,TINYOS,1.6.0.0,1.6.0.0,dd5807b9-32b9-41bd-af38-ad5de36c8b51,dd5807b9-32b9-41bd-af38-ad5de36c8b51,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000462,7e891091-fc0e-4de4-9879-03f37e31e1b9,TINYOS,1.6.0.0,1.6.0.0,7e891091-fc0e-4de4-9879-03f37e31e1b9,7e891091-fc0e-4de4-9879-03f37e31e1b9,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000463,3f583ea3-8050-4e18-9da2-b108db8ab206,TINYOS,1.6.0.0,1.6.0.0,3f583ea3-8050-4e18-9da2-b108db8ab206,3f583ea3-8050-4e18-9da2-b108db8ab206,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000464,041b6b23-4bc1-45ab-95f6-df3e2aa6fb93,TINYOS,1.6.0.0,1.6.0.0,041b6b23-4bc1-45ab-95f6-df3e2aa6fb93,041b6b23-4bc1-45ab-95f6-df3e2aa6fb93,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000465,dc5fc7cf-7208-4990-a5d8-774099b64e0b,TINYOS,1.6.0.0,1.6.0.0,dc5fc7cf-7208-4990-a5d8-774099b64e0b,dc5fc7cf-7208-4990-a5d8-774099b64e0b,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000466,24bab8aa-2176-4c30-8a57-773a4dcf1adb,TINYOS,1.6.0.0,1.6.0.0,24bab8aa-2176-4c30-8a57-773a4dcf1adb,24bab8aa-2176-4c30-8a57-773a4dcf1adb,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000467,5bb34c37-8524-4ecd-b91a-25074a2b1300,TINYOS,1.6.0.0,1.6.0.0,5bb34c37-8524-4ecd-b91a-25074a2b1300,5bb34c37-8524-4ecd-b91a-25074a2b1300,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000468,cea014d2-ceb6-4bfd-9b16-ed8e7fd0216d,TINYOS,1.6.0.0,1.6.0.0,cea014d2-ceb6-4bfd-9b16-ed8e7fd0216d,cea014d2-ceb6-4bfd-9b16-ed8e7fd0216d,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000469,0ce5db99-1594-4959-b9d9-4694445898d7,TINYOS,1.6.0.0,1.6.0.0,0ce5db99-1594-4959-b9d9-4694445898d7,0ce5db99-1594-4959-b9d9-4694445898d7,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000470,7625b43f-d37a-45e2-8ff7-b8842e33e4cd,TINYOS,1.6.0.0,1.6.0.0,7625b43f-d37a-45e2-8ff7-b8842e33e4cd,7625b43f-d37a-45e2-8ff7-b8842e33e4cd,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000471,8ac249d0-f138-4e11-9dd5-abf26210859f,TINYOS,1.6.0.0,1.6.0.0,8ac249d0-f138-4e11-9dd5-abf26210859f,8ac249d0-f138-4e11-9dd5-abf26210859f,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000472,90811fe7-90c0-4b12-8871-8c3f78425150,TINYOS,1.6.0.0,1.6.0.0,90811fe7-90c0-4b12-8871-8c3f78425150,90811fe7-90c0-4b12-8871-8c3f78425150,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000473,dc57b9de-66f4-4862-9685-4fdc19393fe9,TINYOS,1.6.0.0,1.6.0.0,dc57b9de-66f4-4862-9685-4fdc19393fe9,dc57b9de-66f4-4862-9685-4fdc19393fe9,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000474,98927ea9-ab03-4581-a8db-6b6a59cd09b0,TINYOS,1.6.0.0,1.6.0.0,98927ea9-ab03-4581-a8db-6b6a59cd09b0,98927ea9-ab03-4581-a8db-6b6a59cd09b0,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000475,011a7a5f-ef0d-410f-b6b7-9027f47a9301,TINYOS,1.6.0.0,1.6.0.0,011a7a5f-ef0d-410f-b6b7-9027f47a9301,011a7a5f-ef0d-410f-b6b7-9027f47a9301,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000476,9b6deeec-418a-4ea8-b97e-9917a4395088,TINYOS,1.6.0.0,1.6.0.0,9b6deeec-418a-4ea8-b97e-9917a4395088,9b6deeec-418a-4ea8-b97e-9917a4395088,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000477,a80590ab-26f0-4d73-8d10-f4e68d1f26d5,TINYOS,1.6.0.0,1.6.0.0,a80590ab-26f0-4d73-8d10-f4e68d1f26d5,a80590ab-26f0-4d73-8d10-f4e68d1f26d5,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000478,0cbcc40b-8e29-4dd6-8554-219eb8671047,TINYOS,1.6.0.0,1.6.0.0,0cbcc40b-8e29-4dd6-8554-219eb8671047,0cbcc40b-8e29-4dd6-8554-219eb8671047,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000479,088fb659-fa95-442b-b4ad-bf5b5902f272,TINYOS,1.6.0.0,1.6.0.0,088fb659-fa95-442b-b4ad-bf5b5902f272,088fb659-fa95-442b-b4ad-bf5b5902f272,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000480,9c793c2b-96dc-48c5-a42b-bc5f6a9b24a6,TINYOS,1.6.0.0,1.6.0.0,9c793c2b-96dc-48c5-a42b-bc5f6a9b24a6,9c793c2b-96dc-48c5-a42b-bc5f6a9b24a6,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000481,c55e4a16-c46e-4c8b-b276-d0b55d5c7eeb,TINYOS,1.6.0.0,1.6.0.0,c55e4a16-c46e-4c8b-b276-d0b55d5c7eeb,c55e4a16-c46e-4c8b-b276-d0b55d5c7eeb,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000482,58d9ed01-cc33-44cf-acbb-9ada82af74e6,TINYOS,1.6.0.0,1.6.0.0,58d9ed01-cc33-44cf-acbb-9ada82af74e6,58d9ed01-cc33-44cf-acbb-9ada82af74e6,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000483,aa2823cb-68d4-4a7c-96ac-445dac7c1ecf,TINYOS,1.6.0.0,1.6.0.0,aa2823cb-68d4-4a7c-96ac-445dac7c1ecf,aa2823cb-68d4-4a7c-96ac-445dac7c1ecf,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000484,8d6a2eea-ab2c-4729-bbca-05c51a8f9b3c,TINYOS,1.6.0.0,1.6.0.0,8d6a2eea-ab2c-4729-bbca-05c51a8f9b3c,8d6a2eea-ab2c-4729-bbca-05c51a8f9b3c,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000485,bf15e19e-f5f4-4680-a8e8-4f79ee9b7ba5,TINYOS,1.6.0.0,1.6.0.0,bf15e19e-f5f4-4680-a8e8-4f79ee9b7ba5,bf15e19e-f5f4-4680-a8e8-4f79ee9b7ba5,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000486,6597c139-0b4e-43ce-8af2-6ba553c45b8f,TINYOS,1.6.0.0,1.6.0.0,6597c139-0b4e-43ce-8af2-6ba553c45b8f,6597c139-0b4e-43ce-8af2-6ba553c45b8f,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000487,9dddf4f8-9d04-463c-b4f3-5036cf1a9513,TINYOS,1.6.0.0,1.6.0.0,9dddf4f8-9d04-463c-b4f3-5036cf1a9513,9dddf4f8-9d04-463c-b4f3-5036cf1a9513,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000488,b9e2258e-a771-4772-93bd-d15dec1a2d62,TINYOS,1.6.0.0,1.6.0.0,b9e2258e-a771-4772-93bd-d15dec1a2d62,b9e2258e-a771-4772-93bd-d15dec1a2d62,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000489,f956470e-6513-4bbb-a798-60dc1e709b94,TINYOS,1.6.0.0,1.6.0.0,f956470e-6513-4bbb-a798-60dc1e709b94,f956470e-6513-4bbb-a798-60dc1e709b94,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000490,9b12c497-0cfb-4d39-9880-e7f242dc8723,TINYOS,1.5.0.0,1.5.0.0,9b12c497-0cfb-4d39-9880-e7f242dc8723,9b12c497-0cfb-4d39-9880-e7f242dc8723,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.5.0.0,NO,,NO,YES
SN23010000491,c2c653bb-ad16-4dc1-960a-198e22aabece,TINYOS,1.6.0.0,1.6.0.0,c2c653bb-ad16-4dc1-960a-198e22aabece,c2c653bb-ad16-4dc1-960a-198e22aabece,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000492,e5e1dbe4-72fb-41f5-845b-31601c1758c9,TINYOS,1.6.0.0,1.6.0.0,e5e1dbe4-72fb-41f5-845b-31601c1758c9,e5e1dbe4-72fb-41f5-845b-31601c1758c9,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000493,0fb3f8c6-7742-4bc5-9540-da84292c44a6,TINYOS,1.6.0.0,1.6.0.0,0fb3f8c6-7742-4bc5-9540-da84292c44a6,0fb3f8c6-7742-4bc5-9540-da84292c44a6,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000494,57f80a38-5219-47da-94d3-c0eeee99d2b5,TINYOS,1.4.0.3,1.4.0.3,57f80a38-5219-47da-94d3-c0eeee99d2b5,57f80a38-5219-47da-94d3-c0eeee99d2b5,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.4.0.3,NO,,NO,YES
SN23010000495,79256287-df9f-49ef-8da9-58bab9c6f76a,TINYOS,1.6.0.0,1.6.0.0,79256287-df9f-49ef-8da9-58bab9c6f76a,79256287-df9f-49ef-8da9-58bab9c6f76a,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000496,c1358e60-c412-4440-bc61-2cb7ab0fce9c,TINYOS,1.6.0.0,1.6.0.0,c1358e60-c412-4440-bc61-2cb7ab0fce9c,c1358e60-c412-4440-bc61-2cb7ab0fce9c,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000497,7393a595-3264-44d3-97c9-8c180744d6f3,TINYOS,1.6.0.0,1.6.0.0,7393a595-3264-44d3-97c9-8c180744d6f3,7393a595-3264-44d3-97c9-8c180744d6f3,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
